Day1results:
	Name 		 Roll.no 	 Marks 

	John		 1			2

	Emma		 2			7

	Oliv		 3			1

	Avai		 4			2

	Isabe		 5			7

	Sophi		 6			8

	Robin		 7			8

	Doee		 8			6

	Smith		 9			3

	Johnso		 10			7

Day2results:
	Name 		 Roll.no 	 Marks 

	John		 1			4

	Emma		 2			10

	Oliv		 3			8

	Avai		 4			10

	Isabe		 5			3

	Sophi		 6			8

	Robin		 7			1

	Doee		 8			3

	Smith		 9			7

	Johnso		 10			1

Day3results:
	Name 		 Roll.no 	 Marks 

	John		 1			3

	Emma		 2			4

	Oliv		 3			5

	Avai		 4			8

	Isabe		 5			5

	Sophi		 6			3

	Robin		 7			3

	Doee		 8			7

	Smith		 9			4

	Johnso		 10			7

Day4results:
	Name 		 Roll.no 	 Marks 

	John		 1			4

	Emma		 2			5

	Oliv		 3			7

	Avai		 4			3

	Isabe		 5			2

	Sophi		 6			7

	Robin		 7			10

	Doee		 8			2

	Smith		 9			9

	Johnso		 10			3

Day5results:
	Name 		 Roll.no 	 Marks 

	John		 1			2

	Emma		 2			4

	Oliv		 3			7

	Avai		 4			4

	Isabe		 5			4

	Sophi		 6			3

	Robin		 7			2

	Doee		 8			10

	Smith		 9			3

	Johnso		 10			3

Day6results:
	Name 		 Roll.no 	 Marks 

	John		 1			2

	Emma		 2			2

	Oliv		 3			1

	Avai		 4			3

	Isabe		 5			7

	Sophi		 6			3

	Robin		 7			2

	Doee		 8			6

	Smith		 9			5

	Johnso		 10			5

Day7results:
	Name 		 Roll.no 	 Marks 

	John		 1			2

	Emma		 2			8

	Oliv		 3			8

	Avai		 4			1

	Isabe		 5			10

	Sophi		 6			8

	Robin		 7			7

	Doee		 8			7

	Smith		 9			10

	Johnso		 10			1

Day8results:
	Name 		 Roll.no 	 Marks 

	John		 1			7

	Emma		 2			3

	Oliv		 3			3

	Avai		 4			5

	Isabe		 5			5

	Sophi		 6			5

	Robin		 7			8

	Doee		 8			5

	Smith		 9			8

	Johnso		 10			9

Day9results:
	Name 		 Roll.no 	 Marks 

	John		 1			2

	Emma		 2			3

	Oliv		 3			7

	Avai		 4			5

	Isabe		 5			6

	Sophi		 6			8

	Robin		 7			8

	Doee		 8			1

	Smith		 9			3

	Johnso		 10			3

